FC Bayern München;VfL Wolfsburg;2;1;34;9998;1282336200000
Borussia Dortmund;Bayer Leverkusen;0;2;35;9999;1282498200000
Hamburger SV;FC Schalke 04;2;1;362;10000;1282415400000
1. FSV Mainz 05;VfB Stuttgart;2;0;23;10001;1282491000000
1899 Hoffenheim;Werder Bremen;4;1;24;10002;1282404600000
Bor. Mönchengladbach;1. FC Nürnberg;1;1;32;10003;1282404600000
1. FC Köln;1. FC Kaiserslautern;1;3;31;10004;1282404600000
SC Freiburg;FC St. Pauli;1;3;26;10005;1282404600000
Hannover 96;Eintracht Frankfurt;2;1;29;10006;1282404600000
FC Schalke 04;Hannover 96;1;2;33;10007;1283009400000
Werder Bremen;1. FC Köln;4;2;36;10008;1283009400000
Bayer Leverkusen;Bor. Mönchengladbach;3;6;28;10009;1283095800000
VfB Stuttgart;Borussia Dortmund;1;3;37;10010;1283103000000
VfL Wolfsburg;1. FSV Mainz 05;3;4;20;10011;1283009400000
Eintracht Frankfurt;Hamburger SV;1;3;30;10012;1283009400000
1. FC Nürnberg;SC Freiburg;1;2;21;10013;1283009400000
1. FC Kaiserslautern;FC Bayern München;2;0;83;10014;1282941000000
FC St. Pauli;1899 Hoffenheim;0;1;73;10015;1283020200000
FC Bayern München;Werder Bremen;0;0;34;10016;1284229800000
Borussia Dortmund;VfL Wolfsburg;2;0;35;10017;1284219000000
Hamburger SV;1. FC Nürnberg;1;1;52;10018;1284219000000
1. FSV Mainz 05;1. FC Kaiserslautern;2;1;23;10019;1284305400000
1899 Hoffenheim;FC Schalke 04;2;0;185;10020;1284150600000
Bor. Mönchengladbach;Eintracht Frankfurt;0;4;52;10021;1284219000000
1. FC Köln;FC St. Pauli;1;0;31;10022;1284312600000
SC Freiburg;VfB Stuttgart;2;1;52;10023;1284219000000
Hannover 96;Bayer Leverkusen;2;2;52;10024;1284219000000
FC Bayern München;1. FC Köln;0;0;0;10025;1284823800000
FC Schalke 04;Borussia Dortmund;1;3;0;10026;1284917400000
Werder Bremen;1. FSV Mainz 05;0;2;0;10027;1284823800000
Bayer Leverkusen;1. FC Nürnberg;0;0;0;10028;1284917400000
VfB Stuttgart;Bor. Mönchengladbach;7;0;0;10029;1284823800000
VfL Wolfsburg;Hannover 96;2;0;0;10030;1284823800000
Eintracht Frankfurt;SC Freiburg;0;1;30;10031;1284755400000
1. FC Kaiserslautern;1899 Hoffenheim;2;2;0;10032;1284823800000
FC St. Pauli;Hamburger SV;1;1;0;10033;1284910200000
Bayer Leverkusen;Eintracht Frankfurt;2;1;0;10034;1285185600000
Borussia Dortmund;1. FC Kaiserslautern;5;0;35;10035;1285185600000
Hamburger SV;VfL Wolfsburg;1;3;27;10036;1285185600000
1. FSV Mainz 05;1. FC Köln;2;0;23;10037;1285099200000
1899 Hoffenheim;FC Bayern München;1;2;188;10038;1285099200000
Bor. Mönchengladbach;FC St. Pauli;1;2;32;10039;1285185600000
SC Freiburg;FC Schalke 04;1;2;26;10040;1285185600000
Hannover 96;Werder Bremen;4;1;0;10041;1285099200000
1. FC Nürnberg;VfB Stuttgart;2;1;21;10042;1285185600000
FC Bayern München;1. FSV Mainz 05;1;2;34;10043;1285428600000
FC Schalke 04;Bor. Mönchengladbach;2;2;33;10044;1285428600000
Werder Bremen;Hamburger SV;3;2;36;10045;1285439400000
VfB Stuttgart;Bayer Leverkusen;1;4;0;10046;1285428600000
VfL Wolfsburg;SC Freiburg;2;1;52;10047;1285515000000
Eintracht Frankfurt;1. FC Nürnberg;2;0;0;10048;1285428600000
1. FC Köln;1899 Hoffenheim;1;1;0;10049;1285360200000
1. FC Kaiserslautern;Hannover 96;0;1;0;10050;1285522200000
FC St. Pauli;Borussia Dortmund;1;3;73;10051;1285428600000
Bayer Leverkusen;Werder Bremen;2;2;28;10052;1286127000000
Borussia Dortmund;FC Bayern München;2;0;35;10053;1286127000000
VfB Stuttgart;Eintracht Frankfurt;1;2;37;10054;1286119800000
Hamburger SV;1. FC Kaiserslautern;2;1;27;10055;1286033400000
1. FSV Mainz 05;1899 Hoffenheim;4;2;23;10056;1286033400000
Bor. Mönchengladbach;VfL Wolfsburg;1;1;32;10057;1286033400000
SC Freiburg;1. FC Köln;3;2;26;10058;1286033400000
Hannover 96;FC St. Pauli;0;1;29;10059;1285965000000
1. FC Nürnberg;FC Schalke 04;2;1;21;10060;1286033400000
FC Bayern München;Hannover 96;3;0;34;10061;1287243000000
FC Schalke 04;VfB Stuttgart;2;2;33;10062;1287243000000
Werder Bremen;SC Freiburg;2;1;36;10063;1287243000000
VfL Wolfsburg;Bayer Leverkusen;2;3;20;10064;1287253800000
1. FSV Mainz 05;Hamburger SV;0;1;186;10065;1287243000000
1899 Hoffenheim;Bor. Mönchengladbach;3;2;188;10066;1287336600000
1. FC Köln;Borussia Dortmund;1;2;31;10067;1287174600000
1. FC Kaiserslautern;Eintracht Frankfurt;0;3;83;10068;1287329400000
FC St. Pauli;1. FC Nürnberg;3;2;73;10069;1287243000000
Bayer Leverkusen;1. FSV Mainz 05;0;1;28;10070;1287941400000
Borussia Dortmund;1899 Hoffenheim;1;1;35;10071;1287934200000
VfB Stuttgart;FC St. Pauli;2;0;37;10072;1287941400000
Hamburger SV;FC Bayern München;0;0;362;10073;1287779400000
Eintracht Frankfurt;FC Schalke 04;0;0;30;10074;1287847800000
Bor. Mönchengladbach;Werder Bremen;1;4;32;10075;1287847800000
SC Freiburg;1. FC Kaiserslautern;2;1;26;10076;1287847800000
Hannover 96;1. FC Köln;2;1;29;10077;1287847800000
1. FC Nürnberg;VfL Wolfsburg;2;1;21;10078;1287847800000
FC Bayern München;SC Freiburg;4;2;34;10079;1288384200000
FC Schalke 04;Bayer Leverkusen;0;1;0;10080;1288463400000
Werder Bremen;1. FC Nürnberg;2;3;36;10081;1288452600000
VfL Wolfsburg;VfB Stuttgart;2;0;20;10082;1288452600000
1. FSV Mainz 05;Borussia Dortmund;0;2;0;10083;1288539000000
1899 Hoffenheim;Hannover 96;4;0;0;10084;1288546200000
1. FC Köln;Hamburger SV;3;2;31;10085;1288452600000
1. FC Kaiserslautern;Bor. Mönchengladbach;3;0;83;10086;1288452600000
FC St. Pauli;Eintracht Frankfurt;1;3;73;10087;1288452600000
FC Schalke 04;FC St. Pauli;3;0;0;10088;1288989000000
Bayer Leverkusen;1. FC Kaiserslautern;3;1;0;10089;1289151000000
VfB Stuttgart;Werder Bremen;6;0;0;10090;1289151000000
Hamburger SV;1899 Hoffenheim;2;1;0;10091;1289057400000
Eintracht Frankfurt;VfL Wolfsburg;3;1;0;10092;1289057400000
Bor. Mönchengladbach;FC Bayern München;3;3;0;10093;1289057400000
SC Freiburg;1. FSV Mainz 05;1;0;0;10094;1289057400000
Hannover 96;Borussia Dortmund;0;4;0;10095;1289143800000
1. FC Nürnberg;1. FC Köln;3;1;0;10096;1289057400000
FC Bayern München;1. FC Nürnberg;3;0;0;10097;1289755800000
Werder Bremen;Eintracht Frankfurt;0;0;0;10098;1289662200000
Borussia Dortmund;Hamburger SV;2;0;35;10099;1289593800000
VfL Wolfsburg;FC Schalke 04;2;2;0;10100;1289662200000
1. FSV Mainz 05;Hannover 96;0;1;0;10101;1289673000000
1899 Hoffenheim;SC Freiburg;0;1;0;10102;1289748600000
1. FC Köln;Bor. Mönchengladbach;0;4;0;10103;1289662200000
1. FC Kaiserslautern;VfB Stuttgart;3;3;0;10104;1289662200000
FC St. Pauli;Bayer Leverkusen;0;1;0;10105;1289662200000
FC Schalke 04;Werder Bremen;4;0;0;10106;1290267000000
Bayer Leverkusen;FC Bayern München;1;1;0;10107;1290277800000
VfB Stuttgart;1. FC Köln;0;1;52;10108;1290353400000
Eintracht Frankfurt;1899 Hoffenheim;0;4;0;10109;1290267000000
Bor. Mönchengladbach;1. FSV Mainz 05;2;3;0;10110;1290267000000
SC Freiburg;Borussia Dortmund;1;2;0;10111;1290267000000
Hannover 96;Hamburger SV;3;2;0;10112;1290267000000
1. FC Nürnberg;1. FC Kaiserslautern;1;3;0;10113;1290267000000
FC St. Pauli;VfL Wolfsburg;1;1;0;10114;1290360600000
FC Bayern München;Eintracht Frankfurt;4;1;0;10115;1290871800000
Werder Bremen;FC St. Pauli;3;0;0;10116;1290958200000
Borussia Dortmund;Bor. Mönchengladbach;4;1;0;10117;1290882600000
Hamburger SV;VfB Stuttgart;4;2;0;10118;1290871800000
1. FSV Mainz 05;1. FC Nürnberg;3;0;0;10119;1290803400000
1899 Hoffenheim;Bayer Leverkusen;2;2;0;10120;1290871800000
1. FC Köln;VfL Wolfsburg;1;1;0;10121;1290965400000
Hannover 96;SC Freiburg;3;0;0;10122;1290871800000
1. FC Kaiserslautern;FC Schalke 04;5;0;0;10123;1290871800000
FC Schalke 04;FC Bayern München;2;0;0;10124;1291487400000
Bayer Leverkusen;1. FC Köln;3;2;52;10125;1291563000000
VfB Stuttgart;1899 Hoffenheim;1;1;0;10126;1291476600000
VfL Wolfsburg;Werder Bremen;0;0;0;10127;1291476600000
Eintracht Frankfurt;1. FSV Mainz 05;2;1;0;10128;1291476600000
Bor. Mönchengladbach;Hannover 96;1;2;0;10129;1291476600000
SC Freiburg;Hamburger SV;1;0;0;10130;1291476600000
1. FC Nürnberg;Borussia Dortmund;0;2;0;10131;1291570200000
FC St. Pauli;1. FC Kaiserslautern;1;0;0;10132;1291408200000
FC Bayern München;FC St. Pauli;3;0;178;10133;1292081400000
