FC Bayern München;FC Schalke 04;0;1;0;2246;1240673400000
FC Schalke 04;FC Bayern München;0;1;33;9221;1269462600000
FC Schalke 04;FC Bayern München;2;0;0;10124;1291487400000
FC Bayern München;FC Schalke 04;4;1;0;10277;1304188200000
Werder Bremen;FC Bayern München;0;0;0;2181;1235926800000
FC Bayern München;Werder Bremen;0;0;34;10016;1284229800000
Werder Bremen;FC Bayern München;1;3;0;10170;1296315000000
Bayer Leverkusen;FC Bayern München;4;2;0;4928;1236198600000
FC Bayern München;Bayer Leverkusen;3;0;0;2275;1242158400000
Bayer Leverkusen;FC Bayern München;1;1;0;10107;1290277800000
FC Bayern München;Bayer Leverkusen;5;1;0;10259;1303054200000
VfB Stuttgart;FC Bayern München;1;5;0;4896;1233088200000
FC Bayern München;VfB Stuttgart;2;1;0;2293;1243092600000
VfB Stuttgart;FC Bayern München;3;5;0;10145;1292779800000
FC Bayern München;VfB Stuttgart;2;1;0;10295;1305387000000
FC Bayern München;Borussia Dortmund;3;1;0;2160;1234112400000
Borussia Dortmund;FC Bayern München;2;0;35;10053;1286127000000
FC Bayern München;Borussia Dortmund;1;3;0;10205;1298745000000
VfL Wolfsburg;FC Bayern München;5;1;0;2219;1238859000000
FC Bayern München;VfL Wolfsburg;2;1;34;9998;1282336200000
VfL Wolfsburg;FC Bayern München;1;1;0;10155;1295105400000
FC Bayern München;Bor. Mönchengladbach;2;1;0;2262;1241278200000
Bor. Mönchengladbach;FC Bayern München;3;3;0;10093;1289057400000
FC Bayern München;Bor. Mönchengladbach;1;0;0;10241;1301758200000
1. FC Kaiserslautern;FC Bayern München;2;0;83;10014;1282941000000
FC Bayern München;1. FC Kaiserslautern;5;1;0;10160;1295710200000
FC Bayern München;SC Freiburg;4;2;34;10079;1288384200000
SC Freiburg;FC Bayern München;1;2;26;10238;1300548600000
FC Bayern München;1. FSV Mainz 05;1;2;34;10043;1285428600000
1. FSV Mainz 05;FC Bayern München;1;3;0;10199;1298140200000
FC Bayern München;Eintracht Frankfurt;4;0;0;2231;1239463800000
Eintracht Frankfurt;FC Bayern München;0;4;0;8474;1256761800000
FC Bayern München;Eintracht Frankfurt;4;1;0;10115;1290871800000
Eintracht Frankfurt;FC Bayern München;1;1;0;10272;1303572600000
FC Bayern München;1. FC Köln;1;2;0;2180;1235230200000
FC Bayern München;1. FC Köln;0;0;0;10025;1284823800000
1. FC Köln;FC Bayern München;3;2;0;10183;1296919800000
FC Bayern München;FC St. Pauli;3;0;178;10133;1292081400000
FC St. Pauli;FC Bayern München;1;8;0;10294;1304782200000
FC Bayern München;1. FC Nürnberg;3;0;0;10097;1289755800000
1. FC Nürnberg;FC Bayern München;1;1;21;10258;1302363000000
FC Bayern München;Hannover 96;5;1;0;2193;1236439800000
FC Bayern München;Hannover 96;3;0;34;10061;1287243000000
Hannover 96;FC Bayern München;3;1;29;10221;1299339000000
Hamburger SV;FC Bayern München;1;0;0;2145;1233347400000
Hamburger SV;FC Bayern München;0;0;362;10073;1287779400000
FC Bayern München;Hamburger SV;6;0;34;10223;1299943800000
FC Bayern München;FC Schalke 04;0;1;0;2246;1240673400000
FC Schalke 04;FC Bayern München;0;1;33;9221;1269462600000
FC Schalke 04;FC Bayern München;2;0;0;10124;1291487400000
FC Bayern München;FC Schalke 04;4;1;0;10277;1304188200000
FC Schalke 04;Werder Bremen;1;0;0;2154;1234020600000
Werder Bremen;FC Schalke 04;0;2;36;5445;1260642600000
FC Schalke 04;Werder Bremen;0;2;0;5598;1272727800000
FC Schalke 04;Werder Bremen;4;0;0;10106;1290267000000
Werder Bremen;FC Schalke 04;1;1;0;10260;1302978600000
FC Schalke 04;Bayer Leverkusen;1;2;0;2257;1241278200000
FC Schalke 04;Bayer Leverkusen;2;2;33;5401;1257013800000
Bayer Leverkusen;FC Schalke 04;0;2;28;5554;1269714600000
FC Schalke 04;Bayer Leverkusen;0;1;0;10080;1288463400000
Bayer Leverkusen;FC Schalke 04;2;0;0;10232;1300635000000
FC Schalke 04;VfB Stuttgart;1;2;0;2274;1242244800000
VfB Stuttgart;FC Schalke 04;1;2;37;5380;1255793400000
FC Schalke 04;VfB Stuttgart;2;1;0;5533;1268425800000
FC Schalke 04;VfB Stuttgart;2;2;33;10062;1287243000000
VfB Stuttgart;FC Schalke 04;1;0;0;10216;1299339000000
FC Schalke 04;Borussia Dortmund;1;1;0;2178;1235161800000
Borussia Dortmund;FC Schalke 04;0;1;35;5331;1253979000000
FC Schalke 04;Borussia Dortmund;2;1;33;5516;1267216200000
FC Schalke 04;Borussia Dortmund;1;3;0;10026;1284917400000
Borussia Dortmund;FC Schalke 04;0;0;0;10178;1296851400000
VfL Wolfsburg;FC Schalke 04;4;3;0;2202;1236976200000
FC Schalke 04;VfL Wolfsburg;1;2;33;5323;1253305800000
VfL Wolfsburg;FC Schalke 04;2;1;0;5508;1266773400000
VfL Wolfsburg;FC Schalke 04;2;2;0;10100;1289662200000
FC Schalke 04;VfL Wolfsburg;1;0;33;10250;1302363000000
Bor. Mönchengladbach;FC Schalke 04;1;0;0;2265;1241974800000
Bor. Mönchengladbach;FC Schalke 04;1;0;32;5430;1259433000000
FC Schalke 04;Bor. Mönchengladbach;3;1;0;5583;1271518200000
FC Schalke 04;Bor. Mönchengladbach;2;2;33;10044;1285428600000
Bor. Mönchengladbach;FC Schalke 04;2;1;0;10201;1298223000000
1. FC Kaiserslautern;FC Schalke 04;5;0;0;10123;1290871800000
FC Schalke 04;1. FC Kaiserslautern;0;1;0;10268;1303572600000
FC Schalke 04;SC Freiburg;0;1;33;5306;1251559800000
SC Freiburg;FC Schalke 04;0;0;26;5491;1265470200000
SC Freiburg;FC Schalke 04;1;2;26;10040;1285185600000
FC Schalke 04;SC Freiburg;1;0;0;10188;1297524600000
1. FSV Mainz 05;FC Schalke 04;1;0;0;4924;1236112200000
1. FSV Mainz 05;FC Schalke 04;1;0;0;4929;1236112200000
FC Schalke 04;1. FSV Mainz 05;1;0;52;5455;1261168200000
1. FSV Mainz 05;FC Schalke 04;0;0;0;5609;1273332600000
1. FSV Mainz 05;FC Schalke 04;0;1;23;10136;1292175000000
FC Schalke 04;1. FSV Mainz 05;1;3;0;10286;1304782200000
Eintracht Frankfurt;FC Schalke 04;1;2;0;2182;1235835000000
FC Schalke 04;Eintracht Frankfurt;2;0;33;5341;1254515400000
Eintracht Frankfurt;FC Schalke 04;1;4;0;5526;1267889400000
Eintracht Frankfurt;FC Schalke 04;0;0;30;10074;1287847800000
FC Schalke 04;Eintracht Frankfurt;2;1;33;10224;1299943800000
FC Schalke 04;1. FC Köln;1;0;0;2199;1236371400000
1. FC Köln;FC Schalke 04;1;2;31;5316;1252863000000
FC Schalke 04;1. FC Köln;2;0;33;5501;1266161400000
FC Schalke 04;1. FC Köln;3;0;0;10142;1292686200000
1. FC Köln;FC Schalke 04;2;1;0;10300;1305387000000
FC Schalke 04;FC St. Pauli;3;0;0;10088;1288989000000
FC St. Pauli;FC Schalke 04;0;2;171;10249;1301689800000
1. FC Nürnberg;FC Schalke 04;1;2;21;5277;1249745400000
FC Schalke 04;1. FC Nürnberg;1;0;33;5468;1263742200000
1. FC Nürnberg;FC Schalke 04;2;1;21;10060;1286033400000
FC Schalke 04;1. FC Nürnberg;3;2;403;13453;1295987400000
FC Schalke 04;1. FC Nürnberg;1;1;0;10206;1298734200000
Hannover 96;FC Schalke 04;1;0;0;2146;1233415800000
FC Schalke 04;Hannover 96;2;0;33;5420;1258817400000
Hannover 96;FC Schalke 04;4;2;29;5573;1270913400000
FC Schalke 04;Hannover 96;1;2;33;10007;1283009400000
Hannover 96;FC Schalke 04;0;1;0;10168;1295710200000
FC Schalke 04;Hamburger SV;1;2;0;2211;1237741200000
FC Schalke 04;Hamburger SV;3;3;33;5391;1256491800000
Hamburger SV;FC Schalke 04;2;2;168;5544;1269185400000
Hamburger SV;FC Schalke 04;2;1;362;10000;1282415400000
FC Schalke 04;Hamburger SV;0;1;0;10151;1295116200000
Werder Bremen;FC Bayern München;0;0;0;2181;1235926800000
FC Bayern München;Werder Bremen;0;0;34;10016;1284229800000
Werder Bremen;FC Bayern München;1;3;0;10170;1296315000000
FC Schalke 04;Werder Bremen;1;0;0;2154;1234020600000
Werder Bremen;FC Schalke 04;0;2;36;5445;1260642600000
FC Schalke 04;Werder Bremen;0;2;0;5598;1272727800000
FC Schalke 04;Werder Bremen;4;0;0;10106;1290267000000
Werder Bremen;FC Schalke 04;1;1;0;10260;1302978600000
Bayer Leverkusen;Werder Bremen;1;1;0;2228;1239555600000
Bayer Leverkusen;Werder Bremen;1;0;0;5049;1243713600000
Bayer Leverkusen;Werder Bremen;0;0;28;5324;1253467800000
